

"Area","Area Id","Variable Name","Variable Id","Year","Value","Symbol","Md"
"China",351,"Area equipped for irrigation by direct use of treated municipal wastewater",4533,1991,1330.0,"","",""
"China",351,"Area equipped for irrigation by direct use of treated municipal wastewater",4533,1995,1500.0,"","",""
"China",351,"Area equipped for irrigation by direct use of treated municipal wastewater",4533,1998,3618.0,"","",""
"China",351,"Area equipped for irrigation by direct use of not treated municipal wastewater",4534,1972,93.0,"","",""
"China",351,"Area equipped for irrigation by direct use of not treated municipal wastewater",4534,1989,1300.0,"","",""
"Colombia",44,"Produced municipal wastewater",4269,1996,2.094,"","[161,162,163]",""
"Colombia",44,"Produced municipal wastewater",4269,2004,2.11,"","[164,165]",""
"Colombia",44,"Produced municipal wastewater",4269,2010,2.397,"","[166,167,168]",""
"Colombia",44,"Collected municipal wastewater",4493,1993,,,"[169]",
"Colombia",44,"Collected municipal wastewater",4493,2005,,,"[170,171]",
"Colombia",44,"Collected municipal wastewater",4493,2008,0.552,"","[172]",""
"Colombia",44,"Treated municipal wastewater",4270,1996,0.142,"","",""
"Colombia",44,"Treated municipal wastewater",4270,2007,,,"[173]",
"Colombia",44,"Treated municipal wastewater",4270,2008,0.154,"","",""
"Colombia",44,"Number of municipal wastewater treatment facilities",4515,2002,,,"[174]",
"Colombia",44,"Number of municipal wastewater treatment facilities",4515,2006,411.0,"","",""
"Colombia",44,"Capacity of the municipal wastewater treatment facilities",4516,2010,0.608,"","",""
"Colombia",44,"Not treated municipal wastewater",4491,1996,1.952,"","",""
"Colombia",44,"Not treated municipal wastewater",4491,2010,1.8,"I","",""
"Colombia",44,"Treated municipal wastewater discharged (secondary water)",4510,2003,,,"[175]",
"Congo",46,"Treated municipal wastewater",4270,1992,0.0,"","",""
"Costa Rica",48,"Produced municipal wastewater",4269,2000,0.086,"","[176]",""
"Costa Rica",48,"Produced municipal wastewater",4269,2012,0.314,"","[177,178]",""
"Costa Rica",48,"Collected municipal wastewater",4493,2012,0.084,"","[179]",""
"Costa Rica",48,"Treated municipal wastewater",4270,2000,0.0051,"","",""
"Costa Rica",48,"Treated municipal wastewater",4270,2012,0.047,"","[180,181]",""
"Costa Rica",48,"Capacity of the municipal wastewater treatment facilities",4516,2012,0.099,"","",""
"Costa Rica",48,"Not treated municipal wastewater",4491,2000,0.0809,"I","[182]",""
"Costa Rica",48,"Not treated municipal wastewater",4491,2012,0.267,"","[183]",""
"Côte d'Ivoire",107,"Treated municipal wastewater",4270,1994,1.0E-4,"","",""
"Croatia",98,"Produced municipal wastewater",4269,2007,0.211,"","",""
"Croatia",98,"Produced municipal wastewater",4269,2012,0.329,"","",""
"Croatia",98,"Produced municipal wastewater",4269,2014,0.363,"","",""
"Croatia",98,"Treated municipal wastewater",4270,2007,0.14,"","",""
"Croatia",98,"Treated municipal wastewater",4270,2012,0.259,"","[184]",""
"Croatia",98,"Treated municipal wastewater",4270,2014,0.268,"","",""
"Croatia",98,"Number of municipal wastewater treatment facilities",4515,2002,81.0,"","",""
"Croatia",98,"Number of municipal wastewater treatment facilities",4515,2007,107.0,"","",""
"Croatia",98,"Number of municipal wastewater treatment facilities",4515,2012,112.0,"","",""
"Croatia",98,"Not treated municipal wastewater",4491,2007,0.0711,"","",""
"Croatia",98,"Not treated municipal wastewater",4491,2012,0.0694,"","",""
"Croatia",98,"Not treated municipal wastewater",4491,2014,0.0954,"","",""
"Croatia",98,"Treated municipal wastewater discharged (secondary water)",4510,2011,0.209,"","",""
"Croatia",98,"Not treated municipal wastewater discharged (secondary water)",4517,2011,0.133,"","",""
"Cuba",49,"Produced municipal wastewater",4269,1994,0.502,"","",""
"Cuba",49,"Produced municipal wastewater",4269,2010,0.839,"","[185]",""
"Cuba",49,"Collected municipal wastewater",4493,2007,0.622,"","",""
"Cuba",49,"Collected municipal wastewater",4493,2012,0.725,"","",""
"Cuba",49,"Treated municipal wastewater",4270,1994,0.109,"","",""
"Cuba",49,"Treated municipal wastewater",4270,2007,0.232,"","",""
"Cuba",49,"Treated municipal wastewater",4270,2011,0.223,"","[186]",""
"Cuba",49,"Number of municipal wastewater treatment facilities",4515,2007,8.0,"","",""
"Cuba",49,"Number of municipal wastewater treatment facilities",4515,2012,8.0,"","",""
"Cuba",49,"Not treated municipal wastewater",4491,1994,0.393,"I","[187]",""
"Cyprus",50,"Produced municipal wastewater",4269,2005,0.024,"","[188,189]",""
"Cyprus",50,"Collected municipal wastewater",4493,2007,0.02,"","[190]",""
"Cyprus",50,"Collected municipal wastewater",4493,2010,0.023,"","[191]",""
"Cyprus",50,"Treated municipal wastewater",4270,2007,0.02,"","",""
"Cyprus",50,"Treated municipal wastewater",4270,2010,0.023,"","",""
"Cyprus",50,"Number of municipal wastewater treatment facilities",4515,2002,32.0,"","",""
"Cyprus",50,"Number of municipal wastewater treatment facilities",4515,2005,35.0,"","",""
"Cyprus",50,"Number of municipal wastewater treatment facilities",4515,2011,35.0,"","",""
"Cyprus",50,"Capacity of the municipal wastewater treatment facilities",4516,2005,0.035,"","",""
"Cyprus",50,"Capacity of the municipal wastewater treatment facilities",4516,2013,0.054,"","",""
"Cyprus",50,"Not treated municipal wastewater",4491,2005,0.004,"","[192]",""
"Cyprus",50,"Treated municipal wastewater discharged (secondary water)",4510,2007,0.001,"","[193]",""
"Cyprus",50,"Treated municipal wastewater discharged (secondary water)",4510,2008,0.0,"","[194]",""
"Cyprus",50,"Direct use of treated municipal wastewater",4265,2001,0.006,"","",""
"Cyprus",50,"Direct use of treated municipal wastewater",4265,2007,0.019,"","",""
"Cyprus",50,"Direct use of treated municipal wastewater",4265,2008,0.022,"","",""
"Cyprus",50,"Direct use of treated municipal wastewater for irrigation purposes",4490,2010,0.011,"","",""
